name,x,y,z
bilimbi,6.106517,2.5405502,-5.1288023
birds_eye_chili,8.877295,2.427779,-5.837242
birds_nest,8.26408,1.72046,-2.6566548
biryani_masala,6.035762,4.221384,-4.8575754
biscotti,8.127841,3.350146,-0.9225047
biscuit,7.792822,2.80473,-0.9962989
bison,7.5656004,5.312825,-5.404895
bitter_almond,8.346979,1.536912,-3.5016131
bitter_green,8.657047,1.1794544,-5.7478957
bitter_melon,8.266312,2.1417544,-5.355134
bitter_orange,7.164639,5.3274508,-6.052388
bittern,8.578111,2.0207746,-5.049528
bitters,9.20797,3.2935479,-0.98350155
black_bean,7.754058,5.571314,-6.2514544
black_bean_paste,8.388178,2.0560188,-5.674569
black_currant,8.5491495,3.3478212,-1.6236453
black_eyed_pea,7.8451533,5.3084188,-6.232278
black_garlic,8.04867,3.8283043,-5.0809426
black_olive,8.7477,5.0795426,-5.856448
black_pepper,8.698925,4.504529,-6.0100603
black_rice,8.008953,1.7645549,-3.2270036
black_salt,5.6253486,3.8921666,-4.791135
black_sesame_seed,7.751458,1.9918592,-2.7640638
black_tea,8.181229,2.019193,-1.8984603
black_treacle,7.8129654,3.454381,-1.1812955
black_truffle,8.783686,4.815264,-4.9522004
black_vinegar,8.136148,1.8504344,-5.206401
blackberry,8.61228,3.2297084,-1.3516649
blackening_seasoning,7.8266325,5.4173374,-5.835325
blood_orange,8.596365,3.4777415,-1.0392394
blood_sausage,7.381189,5.258919,-5.417751
blood_tofu,8.38674,1.3800868,-5.738586
bloody_mary_mix,7.4689374,5.704972,-5.456302
blue_cheese,8.533211,5.3292513,-5.0205846
blue_curacao,8.424758,2.447321,-1.3227355
blueberry,8.585183,3.0198104,-1.3043791
bluefish,7.831318,5.2462096,-5.315677
bok_choy,8.349452,2.1204631,-5.7458205
bolillo,7.2093673,5.8878784,-6.2471743
bolognese_sauce,8.216712,5.731934,-5.009731
bombay_duck_fish,8.17587,1.1959007,-5.749085
bone,8.359963,1.5062395,-4.294308
bone_marrow,7.5782804,2.0295053,-5.6447673
bonito,8.031909,2.1644926,-6.5020375
bonito_flakes,8.129888,2.4319568,-6.513322
borage,7.514876,4.284784,-2.8832493
borlotti_bean,7.9228716,4.5017653,-5.0877566
bottarga,8.209661,5.0943494,-4.824464
bottle_gourd,8.063235,2.1466312,-5.240344
bouquet_garni,8.4949,4.9504223,-5.0649815
bourbon,8.9475,3.3113608,-1.0984647
boursin_cheese,8.202492,5.628695,-5.060406
boysenberry,8.000009,3.4904656,-1.010498
braising_liquid,8.578997,1.910307,-5.645018
bran,7.357673,3.0864747,-2.0070517
brandy,8.982547,3.3982909,-1.2080096
branzino,7.959698,5.1464543,-5.161031
bratwurst,7.8168197,5.5104065,-5.544001
braunschweiger,8.377228,5.9058914,-5.5406923
brazil_nut,7.1901565,3.04454,-1.7172923
bread,8.800504,4.7533336,-5.931728
bread_crumbs,8.720973,4.7691064,-5.85674
breadfruit,7.5036154,1.8149958,-3.659532
bream,8.566321,1.9317561,-6.0901065
bresaola,8.493263,5.541778,-4.849844
brewers_yeast,7.1360893,3.2756114,-2.0801578
brick_cheese,8.051382,5.9913044,-5.746389
brick_tea,7.917022,1.6950763,-2.4737222
brie_cheese,8.581412,5.345478,-5.023588
brine,8.691165,2.872638,-5.4214983
brioche,8.315527,3.4735703,-0.97784644
broccoli,8.728305,4.179333,-5.97646
broccoli_rabe,8.462827,5.386732,-5.0712295
broccolini,7.8828692,3.9212642,-5.7936454
broth,8.891977,2.9492204,-5.8969493
brown_rice,7.848514,4.2460084,-5.060593
brown_sauce,8.029451,4.9885564,-5.13063
brown_sugar,8.2977,3.2345695,-1.6352855
browning_sauce,8.111205,5.3645983,-5.7102118
brussels_sprout,8.408956,4.9335313,-4.902685
bryndza,8.095509,4.8411922,-3.3923721
buckwheat,7.56914,3.0797143,-2.6061964
budae_jjigae_base,8.069824,1.6219461,-6.1949673
buffalo_meat,8.1855,5.6299653,-5.6788597
buffalo_milk,7.9268017,1.8718476,-2.485129
buffalo_wing_sauce,7.9347835,5.802763,-5.873043
buldak_sauce,8.008581,1.3976358,-6.036972
bulgogi,7.4704037,2.569086,-5.8683496
bulgur,7.858833,4.6170487,-4.1386566
burdock_root,8.071818,2.2619126,-6.484228
burrata,8.515444,5.336467,-4.895571
butifarra,7.1838355,5.1722703,-5.51374
butter,8.131498,3.129319,-1.83479
buttercream,7.799937,2.7362397,-0.95293534
butterfish,7.735693,4.996062,-5.239664
butterfly_pea_flower,8.026789,1.9674661,-2.3451931
buttermilk,8.0483675,3.2240956,-1.5524988
butternut_squash,8.246419,4.914731,-5.5192657
butterscotch,8.091693,3.065928,-0.7653844
cabbage,8.742563,3.3510551,-6.0733495
cacao,7.5376034,2.9870565,-1.6598508
cachaca,9.320391,3.391072,-0.7722383
caciocavallo,8.310581,5.4820004,-4.753095
caesar_dressing,8.395597,5.6719165,-5.5946226
cajeta,7.7995934,3.092299,-0.84937245
cajun_seasoning,8.077784,5.392187,-6.013072
calabrian_chili,8.374104,5.488203,-4.9328523
calamansi,6.3009787,2.521327,-5.112674
calcium_chloride,8.271648,4.156763,-2.9190054
calendula,8.46793,3.5376947,-1.6003217
calpis,8.24664,2.3472579,-1.4909061
calvados,9.073275,3.6958647,-1.2223651
camellia_oil,8.628981,1.7665373,-5.4823537
camembert_cheese,8.35666,5.4978857,-4.820523
campari,9.26005,3.3845131,-0.76124525
canadian_bacon,8.050698,5.7526417,-5.528975
candied_fruit,8.124174,3.0509152,-1.3884311
candlenut,6.0892453,2.6279871,-5.1467905
candy,7.738263,2.9121752,-0.9313068
candy_coating,7.8685303,3.0428112,-0.8024798
